description,name
"Wireless devices now hold multiple radio interfaces, allowing to switch from one network to another according to required connectivity and related quality. Still, the selection of the best radio interface for a specific connection is under the responsibility of the end-user in most cases. Integrated multi-radio network management so as to improve the overall performance of the network(s) up to the software application layer, has led to a number of research efforts over the last few years. However, several challenges remain due to the inherent complexity of the problem. This paper specifically concentrates on the comprehensive analysis of energy-efficient multi-radio networking for pervasive computing. Building upon the service oriented architectural style, we consider pervasive networks of software services, which are deployed on the various networked nodes. The issue is then to optimize the energetic performance of the pervasive network through careful selection of the radio link over which service access should be realized for each such access. By considering the most common wireless interfaces in use today (Bluetooth, WiFi and GPRS), we introduce a formal model of service-oriented multi-radio networks. The proposed model enables characterizing the optimal network configuration in terms of energetic performance, which is shown to be a NP-hard problem and thus requires adequate approximation.",Energetic performance of service-oriented multi-radio networks: issues and perspectives
"In [7], a new information&dash;theoretic attribute selection method for decision tree induction was introduced. This method consists in computing for each node, a distance between the partition generated by the values of each candidate attribute in the node and the correct partition of the subset of training examples in this node. The chosen attribute is that whose corresponding partition is the closest to the correct partition (i.e., the partition that perfectly classifies the training data). In that paper it was also formally proved that such distance is not biased towards attributes with a large number of values in the sense specified by Quinlan in [12] and some initial experimental evidence suggests that the predictive accuracy of the induced trees was not significantly different from that obtained with the most widely used information theoretic attribute selection measures, that is, Quinlan&rsquo;s Gain and Quinlan&rsquo;s Gain Ratio. However, it seemed that the distance induced smaller trees especially when the attributes had different number of values. In that paper it was not confirmed that the differences were statistically significant due to the small number of experiments performed. In this paper we report experimental results that allow to confirm that the distance induces trees whose size, without losing accuracy, is not significantly different from those obtained using Quinlan&rsquo;s Gain but smaller than those obtained with Quinlan&rsquo;s Gain Ratio. These experimental results are supported by a statistical analysis performed using two statistical hypothesis tests&colon; the sign test and the signed rank test.",Comparing information&dash;theoretic attribute selection measures&colon; a statistical approach
"It has been shown that as long as traffic sources adapt their rates to aggregate congestion measure in their paths, they implicitly maximize certain utility. In this paper we study some counter-intuitive throughput behaviors in such networks, pertaining to whether a fair allocation is always inefficient and whether increasing capacity always raises aggregate throughput. A bandwidth allocation policy can be defined in terms of a class of utility functions parameterized by a scalar α that can be interpreted as a quantitative measure of fairness. An allocation is fair if α is large and efficient if aggregate throughput is large. All examples in the literature suggest that a fair allocation is necessarily inefficient. We characterize exactly the tradeoff between fairness and throughput in general networks. The characterization allows us both to produce the first counter-example and trivially explain all the previous supporting examples. Surprisingly, our counter-example has the property that a fairer allocation is always more efficient. In particular it implies that maxmin fairness can achieve a higher throughput than proportional fairness. Intuitively, we might expect that increasing link capacities always raises aggregate throughput. We show that not only can throughput be reduced when some link increases its capacity, more strikingly, it can also be reduced when all links increase their capacities by the same amount. If all links increase their capacities proportionally, however, throughput will indeed increase. These examples demonstrate the intricate interactions among sources in a network setting that are missing in a single-link topology.",Counter-intuitive throughput behaviors in networks under end-to-end control
"This work studies three variants of a three-machine flowshop problem with two operations per job to minimize make-span (F3/o = 2/Cmax). A set of n jobs are classified into three mutually exclusive families A,B and C. The familiesA,B and C are defined as the set of jobs that is scheduled in machine sequence (M1, M2), (M1, M3) and (M1, M3), respectively, where (Mx, My) specifies the machine sequence for the job that is processed first on Mx, and then on My. Specifically, jobs with the same route (machine sequence) are classified into the same family. Three variants of F3/o = 2/Cmax are studied. First, F3/ GT, no-idle, o = 2/Cmax, in which both machine no-idle and GT restrictions are considered. The GT assumption requires that all jobs in the same family are processed contiguously on the machine and the machine no-idle assumption requires that all machines work continuously without idle time. Second, the problem F3/GT, o = 2/Cmax, in which the machine no-idle restriction in the first variant is relaxed, is considered. Third, the problem F3/no-idle, o = 2/Cmax with the GT assumption in the first variant relaxed is considered. Based on the dominance conditions developed, the optimal solution is polynomially derived for each variant. These results may narrow down the gap between easy and hard cases of the general problem.",Three-machine flowshop with two operations per job to minimize makespan
"Restoring data operations after a disaster is a daunting task: how should recovery be performed to minimize data loss and application downtime? Administrators are under considerable pressure to recover quickly, so they lack time to make good scheduling decisions. They schedule recovery based on rules of thumb, or on pre-determined orders that might not be best for the failure occurrence. With multiple workloads and recovery techniques, the number of possibilities is large, so the decision process is not trivial.This paper makes several contributions to the area of data recovery scheduling. First, we formalize the description of potential recovery processes by defining recovery graphs. Recovery graphs explicitly capture alternative approaches for recovering workloads, including their recovery tasks, operational states, timing information and precedence relationships. Second, we formulate the data recovery scheduling problem as an optimization problem, where the goal is to find the schedule that minimizes the financial penalties due to downtime, data loss and vulnerability to subsequent failures. Third, we present several methods for finding optimal or near-optimal solutions, including priority-based, randomized and genetic algorithm-guided ad hoc heuristics. We quantitatively evaluate these methods using realistic storage system designs and workloads, and compare the quality of the algorithms' solutions to optimal solutions provided by a math programming formulation and to the solutions from a simple heuristic that emulates the choices made by human administrators. We find that our heuristics' solutions improve on the administrator heuristic's solutions, often approaching or achieving optimality.",On the road to recovery: restoring data after disasters
"Nearly ten years after its first presentation and five years after its first application to operating systems, the suitability of Aspect-Oriented Programming (AOP) for the development of operating system kernels is still highly in dispute. While the AOP advocacy emphasizes the benefits of AOP towards better configurability and maintainability of system software, most kernel developers express a sound skepticism regarding the thereby induced runtime and memory costs: Operating system kernels have to be lean and efficient.We have analyzed the runtime and memory costs of aspects in general, on the level of &mu;-benchmarks, and by refactoring and extending the eCos operating system kernel using AspectC++, an AOP extension to the C++ language. Our results show that most AOP features do not induce a intrinsic overhead and that the actual overhead induced by AspectC++ is very low. We have also analyzed a test case with significant aspect-related costs. This example shows how the structure of the underlying kernel can have a negative impact on aspect implementations and how these costs can be avoided by an aspect-aware design.Based on this analysis, our conclusion is that AOP is suitable for the development of operating system kernels and other kinds of highly efficient infrastructure software.",A quantitative analysis of aspects in the eCos kernel
"In this paper we present an empirical study of a workload gathered by crawling the eDonkey network --- a dominant peer-to-peer file sharing system --- for over 50 days.We first confirm the presence of some known features, in particular the prevalence of free-riding and the Zipf-like distribution of file popularity. We also analyze the evolution of document popularity.We then provide an in-depth analysis of several clustering properties of such workloads. We measure the geographical clustering of peers offering a given file. We find that most files are offered mostly by peers of a single country, although popular files don't have such a clear home country.We then analyze the overlap between contents offered by different peers. We find that peer contents are highly clustered according to several metrics of interest.We propose to leverage this property by allowing peers to search for content without server support, by querying suitably identified semantic neighbours. We find via trace-driven simulations that this approach is generally effective, and is even more effective for rare files. If we further allow peers to query both their semantic neighbours, and in turn their neighbours' neighbours, we attain hit rates as high as over 55% for neighbour lists of size 20.","Peer sharing behaviour in the eDonkey network, and implications for the design of server-less file sharing systems"
"Most of the work on behavior prediction in the field of Qualitative Reasoning has focused on transient behavior and responses to perturbations&semi; very little has been done regarding systems in steady state. A large class of systems, especially in the area of power systems, are designed for sinusoidal steady&dash;state operation. Thus, an understanding of the steady state behavior of electrical circuits is very important.This article presents a framework for reasoning about linear electrical circuits in sinusoidal steady state. The reasoning process relies on a constraint&dash;based model of the circuit, derived from electro&dash;magnetic theory and generated automatically from the structure of the circuit. In a linear circuit operating in steady state, all quantities are sinusoidals of the same frequency as the source. Since any sinusoidal can be expressed as the real part of a complex exponential, we use the complex form, which simplifies computations&semi; this complex form, characterized by magnitude and angle, is called a phasor. In order to capture magnitude and phase angle information in the model, all constraints operate on phasor variables.Constraint Propagation (CP) is the main inference mechanism. The CP module reasons with as much information and precision as the user provides, ranging from qualitative to quantitative. Intervals provide a general representation mechanism.The framework presented in this article has been implemented in a program called Qualitative Phasor Analysis (QPA), which performs circuit analysis, parameter design, diagnosis, control design, and structure simplification. Circuits with multiple sources are solved using the superposition principle.",Reasoning about linear circuits; a model-based approach
"Scatter search is a population-based method that has recently been shown to yield promising outcomes for solving combinatorial and nonlinear optimization problems. Based on formulations originally proposed in 1960s for combining decision rules and problem constraints such as the surrogate constraint method, scatter search uses strategies for combining solution vectors that have proved effective in a variety of problem settings. In this paper, we develop a general purpose heuristic for a class of nonlinear optimization problems. The procedure is based on the scatter search methodology and treats the objective function evaluation as a black box, making the search algorithm context-independent. Most optimization problems in the chemical and bio-chemical industries are highly nonlinear in either the objective function or the constraints. Moreover, they usually present differential-algebraic systems of constraints. In this type of problem, the evaluation of a solution or even the feasibility test of a set of values for the decision variables is a time-consuming operation. In this context, the solution method is limited to a reduced number of solution examinations. We have implemented a scatter search procedure in Matlab (Mathworks, 2004) for this special class of difficult optimization problems. Our development goes beyond a simple exercise of applying scatter search to this class of problems, but presents innovative mechanisms to obtain a good balance between intensification and diversification in a short-term search horizon. Computational comparisons with other recent methods over a set of benchmark problems favor the proposed procedure.",Scatter search for chemical and bio-process optimization
"Reflection on software engineering as a sub-discipline within computer science reveals that it is as much about people and teamwork as it is about technical expertise. It is therefore important that a software engineer is not only competent in software development but also able to work effectively in a team. Based on the scholarly literature we derived a simple model for team composition and used it to guide, without coercion, our students during team formation. This research reports on an investigation into the role of personality diversity within teams of tertiary students taking a course in software engineering. Data collected confirms that both personality diversity in teams as well as competence of teams impacts positively on team performance. In contrast to other studies, our research data does not seek to couple personality with appropriate role allocation in the team; rather, our measurement is in respect of ""raw"" team diversity alone. In this study the correlation between personality diversity and the success of teams were captured at different stages during the development of a software engineering project tackled by the teams. The same was done with correlation between competence and team success. The personality diversity of the teams showed a strong correlation with team success during the inception phase. This correlation however weakened during the course of the year while the correlation between competence and success started slightly weaker than personality diversity during the inception phase, but grew very strong towards the completion of the team projects.",Software engineering team diversity and performance
"cJ is an extension of Java that allows supertypes, fields, and methods of a class or interface to be provided only under some static subtyping condition. For instance, a cJ generic class, C<P>, may provide a member method m only when the type provided for parameter P is a subtype of a specific type Q.From a practical standpoint, cJ adds to generic Java classes and interfaces the ability to express case-specific code. Unlike conditional compilation techniques (e.g., the C/C++ ""#ifdef"" construct) cJ is statically type safe and maintains the modular type-checking properties of Java generic classes: a cJ generic class can be checked independently of the code that uses it. Just like regular Java, checking a cJ class implies that all uses are safe, under the contract for type parameters specified in the class's signature.As a specific application, cJ addresses the well-known shortcomings of the Java Collections Framework (JCF). JCF data structures often throw run-time errors when an ""optional"" method is called upon an object that does not support it. Within the constraints of standard Java, the authors of the JCF had to either sacrifice static type safety or suffer a combinatorial explosion of the number of types involved. cJ avoids both problems, maintaining both static safety and conciseness.",cJ: enhancing java with safe type conditions
"Stochastic optimization problems attempt to model uncertainty in the data by assuming that the input is specified by a probability distribution. We consider the well-studied paradigm of 2-stage models with recourse: first, given only distributional information about (some of) the data one commits on initial actions, and then once the actual data is realized (according to the distribution), further (recourse) actions can be taken. We show that for a broad class of 2-stage linear models with recourse, one can, for any &epsi; > 0, in time polynomial in 1/&epsi; and the size of the input, compute a solution of value within a factor (1&plus;&epsi;) of the optimum, in spite of the fact that exponentially many second-stage scenarios may occur. In conjunction with a suitable rounding scheme, this yields the first approximation algorithms for 2-stage stochastic integer optimization problems where the underlying random data is given by a &ldquo;black box&rdquo; and no restrictions are placed on the costs in the two stages. Our rounding approach for stochastic integer programs shows that an approximation algorithm for a deterministic analogue yields, with a small constant-factor loss, provably near-optimal solutions for the stochastic generalization. Among the range of applications, we consider are stochastic versions of the multicommodity flow, set cover, vertex cover, and facility location problems.",An approximation scheme for stochastic linear programming and its application to stochastic integer programs
"In a network of bufferless packet multiplexers, the user-perceived capacity of an ingress-egress tunnel (connection) may degrade quickly with increasing path length. This is due to the compounding of transmission blocking probabilities along the path of the connection, even when the links are not overloaded. In such an environment, providing users (e.g., client ISPs) with tunnels of statistically guaranteed bandwidth may limit the network's connection-carrying capacity.In this paper, we introduce and analyze a transmission-scheduling algorithm that employs randomization and traffic regulation at the ingress, and batch scheduling at the links. The algorithm ensures that a fraction of transmissions from each connection is consistently subject to small blocking probability at every link, so that these transmissions are likely to survive long paths. For this algorithm, we obtain tight bounds on the expectation and tail probability of the blocking rate of any ingress-egress connection. We compare the bounds to those obtained using the FCFS link-scheduling rule. We find that the proposed scheduling algorithm significantly improves the network's connection-carrying capacity.In deriving the desired bounds, we develop an analytic framework for stochastically comparing network-wide routing and bandwidth allocation scenarios with respect to blocking in a packet multiplexer. The framework enables us to formally characterize the routing and bandwidth allocation scenarios that maximize the expected blocking rate along the path of a tagged connection.",Analysis of a transmission scheduling algorithm for supporting bandwidth guarantees in bufferless networks
"This work presents numerical assessments of possible routing paths for the reported late Pleistocene Missoula floods, which involved Earth's largest known peak discharges of freshwater. For our numerical model, we adopt the diffusion wave approximation of the shallow-water equation with the empirical Manning coefficient. This simplification is required because (1) most previous studies are one-dimensional or analytical studies based on simple equations, so that our two-dimensional expansion is a natural step towards more sophisticated models; (2) a simple model can easily incorporate the effect of complicated topography; and (3) lower computational costs permit a broader exploration of parameters. Important and new insights obtained from this work include: (1) numerically, we confirm the presence of the Cordilleran Ice Sheet at the time of the Missoula floods; (2) floods with relatively small peak discharges cannot inundate some major reaches, including the Cheney Palouse Scabland Tract; (3) deposits indicative of multiple floods are mostly confined in the locations that can be inundated by relatively lower peak flood discharges; and (4) although Lake Missoula glacial lake failure scenario can reasonably reproduce extensive water coverage, the best fit result to the geological evidence of flooding is obtained when the total water volume is three times larger than that estimated for Glacial Lake Missoula. The above results do not negate previous works, but indicate the need for further detailed field investigation and more sophisticated modeling in order to pursue further understanding of the complex behavior of megaflooding in the Channeled Scabland.",Cataclysmic Scabland flooding: Insights from a simple depth-averaged numerical model
"Various monitoring and performance evaluation tools generate considerable amount of low priority traffic. This information is not always needed in real time and often can be delayed by the network without hurting functionality. This paper proposes a new framework to handle this low priority, but resource consuming traffic in such a way that it incurs a minimal interference with the higher priority traffic. Consequently, this improves the network goodput. The key idea is allowing the network nodes to delay data by locally storing it. This can be done, for example, in the Active Network paradigm.In this paper we show that such a model can improve the network's goodput dramatically even if a very simple scheduling algorithm for intermediate parking is used. The parking imposes additional load on the intermediate nodes. To obtain minimal cost schedules we define an optimization problem called the traveling miser problem.We concentrate on the on-line version of the problem for a predefined route, and develop a number of enhanced scheduling strategies. We study their characteristics under different assumptions on the environment through a rigorous simulation study.We prove that if only one link can be congested, then our scheduling algorithm is O(log2 B) competitive, where B is congestion time, and is 3-competitive, if additional signaling is allowed.",The traveling miser problem
"We introduce the first algorithm that we are aware of to employ Bloom filters for longest prefix matching (LPM). The algorithm performs parallel queries on Bloom filters, an efficient data structure for membership queries, in order to determine address prefix membership in sets of prefixes sorted by prefix length. We show that use of this algorithm for Internet Protocol (IP) routing lookups results in a search engine providing better performance and scalability than TCAM-based approaches. The key feature of our technique is that the performance, as determined by the number of dependent memory accesses per lookup, can be held constant for longer address lengths or additional unique address prefix lengths in the forwarding table given that memory resources scale linearly with the number of prefixes in the forwarding table. Our approach is equally attractive for Internet Protocol Version 6 (IPv6) which uses 128-bit destination addresses, four times longer than IPv4. We present a basic version of our approach along with optimizations leveraging previous advances in LPM algorithms. We also report results of performance simulations of our system using snapshots of IPv4 BGP tables and extend the results to IPv6. Using less than 2 Mb of embedded RAM and a commodity SRAM device, our technique achieves average performance of one hash probe per lookup and a worst case of two hash probes and one array access per lookup.",Longest prefix matching using bloom filters
"The medial axis can be viewed as a compact representation for an arbitrary model; it is an essential geometric structure in many applications. A number of practical algorithms for its computation have been aimed at speeding up its computation and at addressing its instabilities. In this paper we propose a new algorithm to compute the medial axis with arbitrary precision. It exhibits several desirable properties not previously combined in a practical and efficient algorithm. First, it allows for a tradeoff between computation time and accuracy, making it well-suited for applications in which an approximation of the medial axis suffices, but computational efficiency is of particular concern. Second, it is output sensitive: the computation complexity of the algorithm does not depend on the size of the representation of a model, but on the size of the representation of the resulting medial axis. Third, the densities of the approximated medial axis points in different areas are adaptive to local free space volumes, based on the assumption that a coarser approximation in wide open area can still suffice the requirements of the applications. We present theoretical results, bounding the error introduced by the approximation process. The algorithm has been implemented and experimental results are presented that illustrate its computational efficiency and robustness.",Efficient and robust computation of an approximated medial axis
"Whilst multimedia technology has been one of the main contributing factors behind the Web's success, delivery of personalized multimedia content has been a desire seldom achieved in practice. Moreover, the perspective adopted is rarely viewed from a cognitive styles standpoint, notwithstanding the fact that they have significant effects on users' preferences with respect to the presentation of multimedia content. Indeed, research has thus far neglected to examine the effect of cognitive styles on users' subjective perceptions of multimedia quality. This paper aims to examine the relationships between users' cognitive styles, the multimedia quality of service delivered by the underlying network, and users' quality of perception (understood as both enjoyment and informational assimilation) associated with the viewed multimedia content. Results from the empirical study reported here show that all users, regardless of cognitive style, have higher levels of understanding of informational content in multimedia video clips (represented in our study by excerpts from television programmes) with weak dynamism, but that they enjoy moderately dynamic clips most. Additionally, multimedia content was found to significantly influence users' levels of understanding and enjoyment. Surprisingly, our study highlighted the fact that Bimodal users prefer to draw on visual sources for informational purposes, and that the presence of text in multimedia clips has a detrimental effect on the knowledge acquisition of all three cognitive style groups.",A cognitive approach to user perception of multimedia quality: An empirical investigation
"This paper examines a discrete material manufacturing system consisting of three machines that are subject to breakdown and one buffer of finite capacity. It is assumed that the buffer has two immediate preceding machines performing the same operations and one immediate succeeding machine receiving material from the buffer. When the buffer reaches its own capacity, one of the two preceding machines has priority over the other to dispose its processed part into the buffer.It is also assumed that there is a new way of the machines reaching failure, by allowing the machines to fail not only when they are operational but also when are either blocked or starved. The latter gives rise to the possibility of modeling the production of more than one part types. The model is solved analytically by developing a recursive algorithm that generates the transition matrix for any value C of the intermediate buffer capacity. Then various performance measures of the system (e.g., throughput) can be easily evaluated. Numerical results for the throughput are also given and these are compared against simulation. The proposed model may be used as a decomposition block to solve large flow lines with merge/ split operations (for example, flow lines with quality inspections and rework loops) and multiple part types.","Markovian analysis of a discrete material manufacturing system with merge operations, operation-dependent and idleness failures"
"We present an adaptive coupled level-set/volume-of-fluid (ACLSVOF) method for interfacial flow simulations on unstructured triangular grids. At each time step, we evolve both the level set function and the volume fraction. The level set function is evolved by solving the level set advection equation using a discontinuous Galerkin finite element method. The volume fraction advection is performed using a Lagrangian-Eulerian method. The interface is reconstructed based on both the level set and the volume fraction information. In particular, the interface normal vector is calculated from the level set function while the line constant is determined by enforcing mass conservation based on the volume fraction. Different from previous works, we have developed an analytic method for finding the line constant on triangular grids, which makes interface reconstruction efficient and conserves volume of fluid exactly. The level set function is finally reinitialized to the signed distance to the reconstructed interface. Since the level set function is continuous, the normal vector calculation is easy and accurate compared to a classic volume-of-fluid method, while tracking the volume fraction is essential for enforcing mass conservation. The method is also coupled to a finite element based Stokes flow solver. The code validation shows that our method is second order and mass is conserved very accurately. In addition, owing to the adaptive grid algorithm we can resolve complex interface changes and interfaces of high curvature efficiently and accurately.",An adaptive coupled level-set/volume-of-fluid interface capturing method for unstructured triangular grids
"Computer Sciences (CS) are having a major impact on recent scientific developments. As any other basic science, the CS is publicly perceived as an open and free science that is trying to make progress in any possible direction, resolving scientific problems in its arena and dealing with pure scientific and issues and theoretical questions per se. In this paper I claim that this is not the case. CS is heavily controlled by commercial forces, which dictate its progress, goals and future directions. The new developments in the CS arena are in most cases the result of the market needs. Several research projects at the universities are funded by the industry, dealing with issues with a clear industrial aspect. Public funds, such as the 6th European Framework project allocates a major portion of their funds for industrial research. The IEEE and ACM, the most respectful technology organizations of the CS, are governed by the industry and the universities at about equal share. The industry is holding patent rights for several CS research results, and CS scientists are issuing patents for their research because it may have a significant economic value. The CS is not an open science, in terms of Popper definition.",Computer sciences and commercial forces: can computer science be considered science?
"In this paper, we present a fast and versatile algorithm which can rapidly perform a variety of nearest neighbor searches. Efficiency improvement is achieved by utilizing the distance lower bound to avoid the calculation of the distance itself if the lower bound is already larger than the global minimum distance. At the preprocessing stage, the proposed algorithm constructs a lower bound tree (LB-tree) by agglomeratively clustering all the sample points to be searched. Given a query point, the lower bound of its distance to each sample point can be calculated by using the internal node of the LB-tree. To reduce the amount of lower bounds actually calculated, the winner-update search strategy is used for traversing the tree. For further efficiency improvement, data transformation can be applied to the sample and the query points. In addition to finding the nearest neighbor, the proposed algorithm can also (i) provide the k-nearest neighbors progressively; (ii) find the nearest neighbors within a specified distance threshold; and (iii) identify neighbors whose distances to the query are sufficiently close to the minimum distance of the nearest neighbor. Our experiments have shown that the proposed algorithm can save substantial computation, particularly when the distance of the query point to its nearest neighbor is relatively small compared with its distance to most other samples (which is the case for many object recognition problems).",Fast and versatile algorithm for nearest neighbor search based on a lower bound tree
"Composition of mappings between schemas is essential to support schema evolution, data exchange, data integration, and other data management tasks. In many applications, mappings are given by embedded dependencies. In this article, we study the issues involved in composing such mappings. Our algorithms and results extend those of Fagin et al. [2004], who studied the composition of mappings given by several kinds of constraints. In particular, they proved that full source-to-target tuple-generating dependencies (tgds) are closed under composition, but embedded source-to-target tgds are not. They introduced a class of second-order constraints, SO tgds, that is closed under composition and has desirable properties for data exchange. We study constraints that need not be source-to-target and we concentrate on obtaining (first-order) embedded dependencies. As part of this study, we also consider full dependencies and second-order constraints that arise from Skolemizing embedded dependencies. For each of the three classes of mappings that we study, we provide: (a) an algorithm that attempts to compute the composition; and (b) sufficient conditions on the input mappings which guarantee that the algorithm will succeed. In addition, we give several negative results. In particular, we show that full and second-order dependencies that are not limited to be source-to-target are not closed under composition (for the latter, under the additional restriction that no new function symbols are introduced). Furthermore, we show that determining whether the composition can be given by these kinds of dependencies is undecidable.",Composition of mappings given by embedded dependencies
"Ventricular late potentials (VLPs) are low-amplitude, high-frequency waveforms appearing in the terminal part of the QRS complex in electrocardiogram (ECG) of patients who are susceptible to ventricular tachycardia and sudden cardiac death, after surviving myocardial infarction. Accordingly, VLP detection presents a prominent non-invasive marker for some cardiac diseases clinically. This paper proposes a VLP detection method based on the wavelet transform and investigates its performance. In this method, a modified vector magnitude waveform is formed using discrete wavelet transform for each high-resolution ECG (HRECG) record; then, by applying the continuous wavelet transform to the QRS complex end part in this waveform, a feature vector is extracted from the resultant time-scale plot. This wavelet-based feature vector is processed by principle component analysis to reduce its dimensionality. Finally, a supervised feedforward artificial neural network, trained by a proper set of these feature vectors, is employed as a classifier. To evaluate the proposed method performance, a HRECG database consisting of the real VLP-negative and simulated VLP-positive patterns is used. In a comparative approach, different VLP detection techniques including the conventional time-domain method, developed by Simson, and some methods utilizing distinct diagnostic features are also applied to this database to investigate the capability of the proposed method in VLP analysis more completely. The results show the proposed method, employing the wavelet transform in both pre-processing and feature extraction stages, reveals high evaluation criteria (accuracy, sensitivity, and specificity) and is qualified to detect VLPs.",Quantitative evaluation of a wavelet-based method in ventricular late potential detection
"The large size and high complexity of security-sensitive applications and systems software is a primary cause for their poor testability and high vulnerability. One approach to alleviate this problem is to extract the security-sensitive parts of application and systems software, thereby reducing the size and complexity of software that needs to be trusted. At the system software level, we use the Nizza architecture which relies on a kernelized trusted computing base (TCB) and on the reuse of legacy code using trusted wrappers to minimize the size of the TCB. At the application level, we extract the security-sensitive portions of an already existing application into an AppCore. The AppCore is executed as a trusted process in the Nizza architecture while the rest of the application executes on a virtualized, untrusted legacy operating system. In three case studies of real-world applications (e-commerce transaction client, VPN gateway and digital signatures in an e-mail client), we achieved a considerable reduction in code size and complexity. In contrast to the few hundred thousand lines of current application software code running on millions of lines of systems software code, we have AppCores with tens of thousands of lines of code running on a hundred thousand lines of systems software code. We also show the performance penalty of AppCores to be modest (a few percent) compared to current software.",Reducing TCB complexity for security-sensitive applications: three case studies
"The layered architecture of middleware platforms (such as CORBA, SOAP, J2EE) is a mixed blessing. On the one hand, layers provide services such as demarshaling, session management, request despatching, quality-of-service (QoS) etc. In a typical middleware platform, every request passes through each layer, whether or not the services provided by that layer are needed for that specific request. This rigid layer processing can lower overall system throughput, and reduce availability and/or increase vulnerability to denial-of-service attacks. For use cases where the response is a simple function of the request input parameters, bypassing middleware layers may be permissible and highly advantageous. Unfortunately, if an application developer desires to selectively bypass the middleware, and process some requests in the lower layer, she has to write platform-specific, intricate low-level code. To evade this trap, we propose to extend the middleware platform with new aspect-oriented modeling syntax, code generation tools, and a development process for building bypassing implementations. Bypassing implementations provide better use of server's resources, leading to better overall client experience. Our core contribution is this idea: aspect-oriented extensions to IDL, additional code generation, along with an enhanced run-time, can enable application developers to conveniently bypass middleware layers when they are not needed, thus improving the server's performance and providing more ""operational headroom"".",An aspect-oriented approach to bypassing middleware layers
"In fuzzy clustering, the fuzzy c-means (FCM) clustering algorithm is the best known and used method. Since the FCM memberships do not always explain the degrees of belonging for the data well, Krishnapuram and Keller proposed a possibilistic approach to clustering to correct this weakness of FCM. However, the performance of Krishnapuram and Keller's approach depends heavily on the parameters. In this paper, we propose another possibilistic clustering algorithm (PCA) which is based on the FCM objective function, the partition coefficient (PC) and partition entropy (PE) validity indexes. The resulting membership becomes the exponential function, so that it is robust to noise and outliers. The parameters in PCA can be easily handled. Also, the PCA objective function can be considered as a potential function, or a mountain function, so that the prototypes of PCA can be correspondent to the peaks of the estimated function. To validate the clustering results obtained through a PCA, we generalized the validity indexes of FCM. This generalization makes each validity index workable in both fuzzy and possibilistic clustering models. By combining these generalized validity indexes, an unsupervised possibilistic clustering is proposed. Some numerical examples and real data implementation on the basis of the proposed PCA and generalized validity indexes show their effectiveness and accuracy.",Unsupervised possibilistic clustering
"In the first part of this paper we determine the largest step size of Runge-Kutta (RK) methods for which the corresponding numerical approximations are positive (component-wise non-negative) for arbitrary positive initial vector, whenever the underlying initial value problem (IVP) possesses the related positivity preserving property. We prove that step size thresholds for certain classes of positive IVPs guaranteeing positivity that we derived in a former paper are strict for irreducible and non-confluent RK methods. Investigating the strict positivity step size thresholds we can see that these are rather small if at all positive: often they are, roughly speaking, inverse proportional to the Lipschitz constant of the problem.However, for certain (stiff) IVPs with some particular initial vectors, e.g., for some ""smooth"" vectors in semi-discretized diffusion problems, we experience preservation of positivity with much larger step sizes than the strict positivity step size threshold. To catch this phenomenon, in the second part of the paper we construct positively invariant sets of positive vectors and derive step size thresholds for the discrete version of the positive invariance. The resulting threshold for discrete positive invariance is, roughly speaking, inverse proportional to the one-sided Lipschitz constant only and is shown in good accordance with some displayed computational experiments.",On the positivity step size threshold of Runge-Kutta methods
"Image classification arises as an important phase in the overall process of automatic image annotation and image retrieval. In this study, we are concerned with the design of image classifiers developed in the feature space formed by low level primitives defined in the setting of the MPEG-7 standard. Our objective is to investigate the discriminatory properties of such standard image descriptors and look at efficient architectures of the classifiers along with their design pursuits. The generalization capabilities of an image classifier are essential to its successful usage in image retrieval and annotation. Intuitively, it is expected that the classifier should achieve high classification accuracy on unseen images that are quite ''similar'' to those occurring in the training set. On the other hand, we may assume that the performance of the classifier could not be guaranteed in the case of images that are very much dissimilar from the elements of the training set. To follow this observation, we develop and use a concept of the localized generalization error and show how it guides the design of the classifier. As image classifier, we consider the usage of the radial basis function neural networks (RBFNNs). Through intensive experimentation we show that the resulting classifier outperforms other classifiers such as a multi-class support vector machines (SVMs) as well as ''standard'' RBFNNs (viz. those developed without the guidance offered by the optimization of the localized generalization error). The experimental studies reveal some interesting interpretation abilities of the RBFNN classifiers being related with their receptive fields.",Image classification with the use of radial basis function neural networks and the minimization of the localized generalization error
"Although independent consideration of layers simplifies wireless system design, it is inadequate since: 1) it does not consider the effect of co-channel user interference on higher layers; 2) it does not address the impact of local adaptation actions on overall performance; and 3) it attempts to optimize performance at one layer while keeping parameters of other layers fixed. Cross-layer adaptation techniques spanning several layers improve performance and provide better quality of service for users across layers. In this study, we consider a synergy between the physical and access layers and address the joint problem of channel allocation, modulation level, and power control in a multicell network. Since performance is determined by channel reuse, it is important to handle co-channel interference appropriately by constructing co-channel user sets and by assigning transmission parameters so that achievable system rate is maximized. The problem is considered for orthogonal frequency-division multiplexing, which introduces novel challenges to resource allocation due to different quality of subcarriers for users and existing transmit power constraints. We study the structure of the problem and present two classes of centralized heuristic algorithms. The first one considers each subcarrier separately and sequentially allocates users from different base stations in the subcarrier based on different criteria, while the second is based on water-filling across subcarriers in each cell. Our results show that the first class of heuristics performs better and quantify the impact of different parameters on system performance.",Cross-layer adaptive techniques for throughput enhancement in wireless OFDM-based networks
